question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
113A105,97.7,0.5,0.3,0.2,1.3,97.7,0.09,〇
113A106,65.1,,,,,,0.37,×
113A107,92.2,92.2,2,0.3,5.5,,0.12,〇
113A108,59.9,14.1,16.6,59.9,9.4,,0.23,×
113A109,79.6,8.6,6.8,4.9,79.6,,0.38,〇
113A110,50,9.4,21.4,50,19.2,,0.15,×
113A111,85.1,4.1,85.1,5.2,5.6,,0.34,〇
113A112,68.9,0.1,29,2,68.9,,0.32,×
113A113,81.9,4.3,0.3,81.9,13.5,,0.33,〇
113A114,94,0.1,94,3.7,2.2,,0.03,〇
113A115,97.2,0.4,97.2,2.2,0.2,,0.13,〇
113A116,91.5,1.9,4,2.6,91.5,,0.23,〇
113A117,87.4,0.1,12.4,87.4,0.1,,0.11,〇
113A118,92.3,2.7,92.3,1,3.9,,0.28,〇
113A119,95.9,0.3,1,2.7,95.9,,0.13,〇
113A120,98.2,98.2,0.4,0.3,1.1,,0.12,〇
113P001,99.4,0.3,0.2,99.4,0.1,,0.03,〇
113P002,63,4.4,63,27.1,5.4,,0.05,×
113P003,98.4,0.1,0.3,1.1,98.4,,0.10,〇
113P004,92.4,5.1,1.5,1,92.4,,0.09,〇
113P005,60.1,7,16.5,60.1,16.4,,0.32,×
113P006,97.3,97.3,1.1,0.2,1.3,,0.17,〇
113P007,99.5,0.1,0.2,99.5,0.2,,0.03,〇
113P008,97.6,97.6,1.1,0.1,1.1,,0.13,〇
113P009,88.2,2,4.2,88.2,5.7,,0.14,〇
113P010,98.5,0.3,98.5,1,0.3,,0.10,〇
113P011,35.1,35.1,38.4,15.2,11.3,,-0.04,×
113P012,86.4,1.1,5.8,86.4,6.8,,0.13,〇
113P013,98.2,0.1,1.3,98.2,0.4,,0.11,〇
113P014,71,71,11.2,16.4,1.4,,0.36,〇
113P015,69.8,69.8,26.9,1.3,2,,0.37,×
113P016,94.8,0.3,94.8,3.1,1.8,,0.25,〇
113P017,93,5.1,93,1.6,0.2,,0.17,〇
113P018,97.3,97.3,0.7,0.1,1.9,,0.14,〇
113P019,97.9,0.3,0.9,97.9,0.9,,0.09,〇
113P020,95.6,1.7,1.8,0.8,95.6,,0.17,〇
113P021,NULL,51.1,2.1,42.4,4.4,,nan,〇
113P022,98.6,0.1,0.9,0.4,98.6,,0.09,〇
113P023,91.6,1.9,3.9,91.6,2.7,,0.16,〇
113P024,87.2,0.2,87.2,3.1,9.6,,0.28,〇
113P025,93.7,1.1,4.4,93.7,0.6,0.2,0.24,〇
113P026,93.5,93.5,1.1,2.1,3.3,,0.22,〇
113P027,47.4,31.3,4.2,47.4,17,,0.35,×
113P028,90.5,3.9,1.6,4,90.5,,0.32,〇
113P029,44.2,44.2,8.5,39.5,7.8,,0.23,×
113P030,97.1,2,0.3,0.7,97.1,,0.13,〇
113P031,42.4,2.1,12.9,42.4,42.6,,0.16,×
113P032,92.9,92.9,2,4.3,0.8,,0.08,〇
113P033,80.4,80.4,0.2,2.6,16.8,,0.24,〇
113P034,95.5,1.3,95.5,1.3,1.8,,0.21,〇
113P035,74.5,17.3,1.4,74.5,6.8,,0.35,〇
113P036,57.4,24.6,16.4,57.4,1.7,,0.22,×
113P037,54.9,54.9,40.4,2.5,2.2,,0.17,×
113P038,78,3.2,78,8.4,10.4,,0.38,〇
113P039,72.8,13.8,0.9,72.8,12.5,,0.32,〇
113P040,66.9,5.4,23,66.9,4.7,,0.40,×
113P041,78.7,11.8,7.3,78.7,2.3,,0.35,〇
113P042,97.3,97.3,0.7,0.5,1.5,,0.17,〇
113P043,34,27.6,34,9,29.3,,0.23,×
113P044,46.9,46.9,10.2,19,24,,0.32,×
113P045,11.5,24.4,43.5,20.7,11.5,,0.09,×
113P046,66.7,4.3,1,66.7,28.1,,0.25,×
113P047,81.8,9.6,81.8,4,4.6,,0.22,〇
113P048,38.4,38.4,0.2,0.6,60.8,,0.06,×
113P049,68.2,68.2,23.6,0.7,7.5,,0.33,×
113P050,94.3,94.3,0.3,0.9,4.5,,0.23,〇
113P051,92.5,1.5,2.9,92.5,3.1,,0.24,〇
113P052,81.7,4.3,6.1,8,81.7,,0.32,〇
113P053,89.4,5.3,1.4,89.4,3.9,,0.20,〇
113P054,92,1.7,5.5,0.8,92,,0.12,〇
113P055,79.6,3.4,2.2,79.6,14.8,,0.41,〇
113P056,77.3,11.2,77.3,5.1,6.4,,0.17,〇
113P057,80.9,8.3,10.1,80.9,0.8,,0.33,〇
113P058,89,89,4.4,1.8,4.8,,0.23,〇
113P059,96.9,0.6,96.9,0.8,1.7,,0.16,〇
113P060,97.6,1.4,97.6,0.2,0.8,,0.13,〇
113P061,96.7,96.7,1.3,0.3,1.7,,0.18,〇
113P062,84.4,0.9,11.9,2.8,84.4,,0.17,〇
113P063,66.3,1.5,66.3,31.2,1.1,,0.33,×
113P064,80.4,0.7,1.5,80.4,17.4,,0.32,〇
113P065,72.4,5.2,5.2,72.4,17.3,,0.41,〇
113P066,98.1,1.3,0.2,0.3,98.1,,0.08,〇
113P067,87.6,87.6,0.1,9.8,2.5,,0.09,〇
113P068,83,83,6.2,7.5,3.3,,0.29,〇
113P069,99.4,0.2,0.1,0.4,99.4,,0.06,〇
113P070,97.4,1.3,0.3,1,97.4,,0.05,〇
113P071,91.6,4,3.4,1,91.6,,0.20,〇
113P072,71.9,71.9,2.7,18.8,6.7,,0.27,〇
113P073,97.7,0.1,0.6,0.4,1.1,97.7,0.17,〇
113P074,66.6,2.7,22.1,66.6,8.3,0.3,0.54,×
113P075,51.9,1.2,1.5,23.8,21.6,51.9,0.17,×
113P076,11.1,11.1,24.9,38.8,4.5,20.7,0.02,×
113P077,81.4,8.9,81.4,3.5,1.8,4.4,0.35,〇
